1730588846.105114 server started (63221): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1730588846.105152 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:36 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T6020
1730588846.105162 using libevent 2.1.12-stable select
1730588846.105172 using utf8proc 2.9.0
1730588846.105179 using ncurses 6.5 20240427
1730588846.114323 yylex_token: end at WS
1730588846.114324 yylex_token: ~
1730588846.114327 yylex_token: end at WS
1730588846.114328 yylex_token: show-messages
1730588846.114331 cmd_parse_build_commands 0:0: bind
1730588846.114333 cmd_parse_build_commands 0:1: -N
1730588846.114335 cmd_parse_build_commands 0:2: Show messages
1730588846.114336 cmd_parse_build_commands 0:3: ~
1730588846.114339 cmd_parse_build_commands 0:4 0:0: show-messages
1730588846.114341 cmd_parse_build_commands 0:0: show-messages
1730588846.114344 args_parse: flags end at 1 of 1
1730588846.114346 cmd_parse_build_commands: show-messages
1730588846.114348 args_parse_flags: next -N
1730588846.114350 args_parse_flag_argument: -N = Show messages
1730588846.114352 args_parse_flags: next ~
1730588846.114354 args_parse: flags end at 3 of 5
1730588846.114356 args_parse: 3 = ~ (type STRING)
1730588846.114358 args_parse: 4 = show-messages (type COMMANDS)
1730588846.114364 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1730588846.114366 cmdq_get_command: [bind-key/0x148617830] group 474
1730588846.114368 cmdq_append <global>: [bind-key/0x148617830]
1730588846.114370 yylex_token: end at WS
1730588846.114372 yylex_token: bind
1730588846.114374 yylex_token: end at WS
1730588846.114376 yylex_token: -N
1730588846.114379 yylex_token: end at WS
1730588846.114381 yylex_token: Enter copy mode and scroll up
1730588846.114383 yylex_token: end at WS
1730588846.114385 yylex_token: PPage
1730588846.114387 yylex_token: end at WS
1730588846.114390 yylex_token: copy-mode
1730588846.114392 yylex_token: end at WS
1730588846.114395 yylex_token: -u
1730588846.114399 cmd_parse_build_commands 0:0: bind
1730588846.114401 cmd_parse_build_commands 0:1: -N
1730588846.114403 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1730588846.114405 cmd_parse_build_commands 0:3: PPage
1730588846.114407 cmd_parse_build_commands 0:4 0:0: copy-mode
1730588846.114409 cmd_parse_build_commands 0:4 0:1: -u
1730588846.114412 cmd_parse_build_commands 0:0: copy-mode
1730588846.114413 cmd_parse_build_commands 0:1: -u
1730588846.114416 args_parse_flags: next -u
1730588846.114418 args_parse_flags: -u
1730588846.114420 args_parse: flags end at 2 of 2
1730588846.114423 cmd_parse_build_commands: copy-mode -u
1730588846.114424 args_parse_flags: next -N
1730588846.114427 args_parse_flag_argument: -N = Enter copy mode and scroll up
1730588846.114428 args_parse_flags: next PPage
1730588846.114430 args_parse: flags end at 3 of 5
1730588846.114432 args_parse: 3 = PPage (type STRING)
1730588846.114435 args_parse: 4 = copy-mode -u (type COMMANDS)
1730588846.114440 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1730588846.114443 cmdq_get_command: [bind-key/0x148617b40] group 482
1730588846.114445 cmdq_append <global>: [bind-key/0x148617b40]
1730588846.114447 yylex_token: end at WS
1730588846.114450 yylex_token: bind
1730588846.114453 yylex_token: end at WS
1730588846.114454 yylex_token: -N
1730588846.114457 yylex_token: end at WS
1730588846.114459 yylex_token: Select the pane above the active pane
1730588846.114461 yylex_token: end at WS
1730588846.114463 yylex_token: -r
1730588846.114465 yylex_token: end at WS
1730588846.114467 yylex_token: Up
1730588846.114469 yylex_token: end at WS
1730588846.114470 yylex_token: select-pane
1730588846.114472 yylex_token: end at WS
1730588846.114474 yylex_token: -U
1730588846.114478 cmd_parse_build_commands 0:0: bind
1730588846.114480 cmd_parse_build_commands 0:1: -N
1730588846.114482 cmd_parse_build_commands 0:2: Select the pane above the active pane
1730588846.114484 cmd_parse_build_commands 0:3: -r
1730588846.114486 cmd_parse_build_commands 0:4: Up
1730588846.114488 cmd_parse_build_commands 0:5 0:0: select-pane
1730588846.114491 cmd_parse_build_commands 0:5 0:1: -U
1730588846.114501 cmd_parse_build_commands 0:0: select-pane
1730588846.114504 cmd_parse_build_commands 0:1: -U
1730588846.114508 args_parse_flags: next -U
1730588846.114510 args_parse_flags: -U
1730588846.114512 args_parse: flags end at 2 of 2
1730588846.114515 cmd_parse_build_commands: select-pane -U
1730588846.114516 args_parse_flags: next -N
1730588846.114519 args_parse_flag_argument: -N = Select the pane above the active pane
1730588846.114520 args_parse_flags: next -r
1730588846.114522 args_parse_flags: -r
1730588846.114524 args_parse_flags: next Up
1730588846.114526 args_parse: flags end at 4 of 6
1730588846.114528 args_parse: 4 = Up (type STRING)
1730588846.114531 args_parse: 5 = select-pane -U (type COMMANDS)
1730588846.114536 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1730588846.114539 cmdq_get_command: [bind-key/0x148618260] group 490
1730588846.114541 cmdq_append <global>: [bind-key/0x148618260]
1730588846.114544 yylex_token: end at WS
1730588846.114546 yylex_token: bind
1730588846.114549 yylex_token: end at WS
1730588846.114551 yylex_token: -N
1730588846.114554 yylex_token: end at WS
1730588846.114557 yylex_token: Select the pane below the active pane
1730588846.114560 yylex_token: end at WS
1730588846.114562 yylex_token: -r
1730588846.114565 yylex_token: end at WS
1730588846.114567 yylex_token: Down
1730588846.114569 yylex_token: end at WS
1730588846.114571 yylex_token: select-pane
1730588846.114574 yylex_token: end at WS
1730588846.114576 yylex_token: -D
1730588846.114578 cmd_parse_build_commands 0:0: bind
1730588846.114580 cmd_parse_build_commands 0:1: -N
1730588846.114582 cmd_parse_build_commands 0:2: Select the pane below the active pane
1730588846.114584 cmd_parse_build_commands 0:3: -r
1730588846.114586 cmd_parse_build_commands 0:4: Down
1730588846.114589 cmd_parse_build_commands 0:5 0:0: select-pane
1730588846.114591 cmd_parse_build_commands 0:5 0:1: -D
1730588846.114594 cmd_parse_build_commands 0:0: select-pane
1730588846.114597 cmd_parse_build_commands 0:1: -D
1730588846.114601 args_parse_flags: next -D
1730588846.114603 args_parse_flags: -D
1730588846.114605 args_parse: flags end at 2 of 2
1730588846.114608 cmd_parse_build_commands: select-pane -D
1730588846.114610 args_parse_flags: next -N
1730588846.114612 args_parse_flag_argument: -N = Select the pane below the active pane
1730588846.114614 args_parse_flags: next -r
1730588846.114615 args_parse_flags: -r
1730588846.114617 args_parse_flags: next Down
1730588846.114619 args_parse: flags end at 4 of 6
1730588846.114621 args_parse: 4 = Down (type STRING)
1730588846.114624 args_parse: 5 = select-pane -D (type COMMANDS)
1730588846.114630 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1730588846.114633 cmdq_get_command: [bind-key/0x148618400] group 498
1730588846.114635 cmdq_append <global>: [bind-key/0x148618400]
1730588846.114637 yylex_token: end at WS
1730588846.114638 yylex_token: bind
1730588846.114640 yylex_token: end at WS
1730588846.114642 yylex_token: -N
1730588846.114645 yylex_token: end at WS
1730588846.114647 yylex_token: Select the pane to the left of the active pane
1730588846.114649 yylex_token: end at WS
1730588846.114651 yylex_token: -r
1730588846.114653 yylex_token: end at WS
1730588846.114655 yylex_token: Left
1730588846.114657 yylex_token: end at WS
1730588846.114659 yylex_token: select-pane
1730588846.114661 yylex_token: end at WS
1730588846.114663 yylex_token: -L
1730588846.114666 cmd_parse_build_commands 0:0: bind
1730588846.114669 cmd_parse_build_commands 0:1: -N
1730588846.114671 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1730588846.114673 cmd_parse_build_commands 0:3: -r
1730588846.114675 cmd_parse_build_commands 0:4: Left
1730588846.114677 cmd_parse_build_commands 0:5 0:0: select-pane
1730588846.114679 cmd_parse_build_commands 0:5 0:1: -L
1730588846.114682 cmd_parse_build_commands 0:0: select-pane
1730588846.114683 cmd_parse_build_commands 0:1: -L
1730588846.114686 args_parse_flags: next -L
1730588846.114691 args_parse_flags: -L
1730588846.114693 args_parse: flags end at 2 of 2
1730588846.114696 cmd_parse_build_commands: select-pane -L
1730588846.114697 args_parse_flags: next -N
1730588846.114699 args_parse_flag_argument: -N = Select the pane to the left of the active pane
1730588846.114701 args_parse_flags: next -r
1730588846.114703 args_parse_flags: -r
1730588846.114705 args_parse_flags: next Left
1730588846.114707 args_parse: flags end at 4 of 6
1730588846.114709 args_parse: 4 = Left (type STRING)
1730588846.114711 args_parse: 5 = select-pane -L (type COMMANDS)
1730588846.114717 cmd_parse_build_commands: bind-key -r -N "Select the pane to the left of the active pane" Left { select-pane -L }
1730588846.114720 cmdq_get_command: [bind-key/0x148618cd0] group 506
1730588846.114722 cmdq_append <global>: [bind-key/0x148618cd0]
1730588846.114724 yylex_token: end at WS
1730588846.114726 yylex_token: bind
1730588846.114728 yylex_token: end at WS
1730588846.114730 yylex_token: -N
1730588846.114733 yylex_token: end at WS
1730588846.114736 yylex_token: Select the pane to the right of the active pane
1730588846.114738 yylex_token: end at WS
1730588846.114740 yylex_token: -r
1730588846.114744 yylex_token: end at WS
1730588846.114747 yylex_token: Right
1730588846.114749 yylex_token: end at WS
1730588846.114751 yylex_token: select-pane
1730588846.114753 yylex_token: end at WS
1730588846.114754 yylex_token: -R
1730588846.114757 cmd_parse_build_commands 0:0: bind
1730588846.114758 cmd_parse_build_commands 0:1: -N
1730588846.114760 cmd_parse_build_commands 0:2: Select the pane to the right of the active pane
1730588846.114762 cmd_parse_build_commands 0:3: -r
1730588846.114764 cmd_parse_build_commands 0:4: Right
1730588846.114766 cmd_parse_build_commands 0:5 0:0: select-pane
1730588846.114768 cmd_parse_build_commands 0:5 0:1: -R
1730588846.114771 cmd_parse_build_commands 0:0: select-pane
1730588846.114773 cmd_parse_build_commands 0:1: -R
1730588846.114775 args_parse_flags: next -R
1730588846.114777 args_parse_flags: -R
1730588846.114779 args_parse: flags end at 2 of 2
1730588846.114782 cmd_parse_build_commands: select-pane -R
1730588846.114784 args_parse_flags: next -N
1730588846.114786 args_parse_flag_argument: -N = Select the pane to the right of the active pane
1730588846.114788 args_parse_flags: next -r
1730588846.114789 args_parse_flags: -r
1730588846.114791 args_parse_flags: next Right
1730588846.114793 args_parse: flags end at 4 of 6
1730588846.114795 args_parse: 4 = Right (type STRING)
1730588846.114798 args_parse: 5 = select-pane -R (type COMMANDS)
1730588846.114804 cmd_parse_build_commands: bind-key -r -N "Select the pane to the right of the active pane" Right { select-pane -R }
1730588846.114808 cmdq_get_command: [bind-key/0x148618fd0] group 514
1730588846.114810 cmdq_append <global>: [bind-key/0x148618fd0]
1730588846.114814 yylex_token: end at WS
1730588846.114816 yylex_token: bind
1730588846.114818 yylex_token: end at WS
1730588846.114820 yylex_token: -N
1730588846.114822 yylex_token: end at WS
1730588846.114824 yylex_token: Set the even-horizontal layout
1730588846.114826 yylex_token: end at WS
1730588846.114828 yylex_token: M-1
1730588846.114830 yylex_token: end at WS
1730588846.114832 yylex_token: select-layout
1730588846.114834 yylex_token: end at WS
1730588846.114836 yylex_token: even-horizontal
1730588846.114839 cmd_parse_build_commands 0:0: bind
1730588846.114840 cmd_parse_build_commands 0:1: -N
1730588846.114842 cmd_parse_build_commands 0:2: Set the even-horizontal layout
1730588846.114844 cmd_parse_build_commands 0:3: M-1
1730588846.114846 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.114848 cmd_parse_build_commands 0:4 0:1: even-horizontal
1730588846.114851 cmd_parse_build_commands 0:0: select-layout
1730588846.114853 cmd_parse_build_commands 0:1: even-horizontal
1730588846.114856 args_parse_flags: next even-horizontal
1730588846.114858 args_parse: flags end at 1 of 2
1730588846.114860 args_parse: 1 = even-horizontal (type STRING)
1730588846.114863 cmd_parse_build_commands: select-layout even-horizontal
1730588846.114868 args_parse_flags: next -N
1730588846.114871 args_parse_flag_argument: -N = Set the even-horizontal layout
1730588846.114873 args_parse_flags: next M-1
1730588846.114875 args_parse: flags end at 3 of 5
1730588846.114879 args_parse: 3 = M-1 (type STRING)
1730588846.114882 args_parse: 4 = select-layout even-horizontal (type COMMANDS)
1730588846.114888 cmd_parse_build_commands: bind-key -N "Set the even-horizontal layout" M-1 { select-layout even-horizontal }
1730588846.114892 cmdq_get_command: [bind-key/0x1486193a0] group 522
1730588846.114893 cmdq_append <global>: [bind-key/0x1486193a0]
1730588846.114895 yylex_token: end at WS
1730588846.114897 yylex_token: bind
1730588846.114899 yylex_token: end at WS
1730588846.114901 yylex_token: -N
1730588846.114904 yylex_token: end at WS
1730588846.114906 yylex_token: Set the even-vertical layout
1730588846.114910 yylex_token: end at WS
1730588846.114912 yylex_token: M-2
1730588846.114914 yylex_token: end at WS
1730588846.114916 yylex_token: select-layout
1730588846.114918 yylex_token: end at WS
1730588846.114920 yylex_token: even-vertical
1730588846.114922 cmd_parse_build_commands 0:0: bind
1730588846.114924 cmd_parse_build_commands 0:1: -N
1730588846.114926 cmd_parse_build_commands 0:2: Set the even-vertical layout
1730588846.114928 cmd_parse_build_commands 0:3: M-2
1730588846.114930 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.114932 cmd_parse_build_commands 0:4 0:1: even-vertical
1730588846.114934 cmd_parse_build_commands 0:0: select-layout
1730588846.114936 cmd_parse_build_commands 0:1: even-vertical
1730588846.114939 args_parse_flags: next even-vertical
1730588846.114941 args_parse: flags end at 1 of 2
1730588846.114945 args_parse: 1 = even-vertical (type STRING)
1730588846.114950 cmd_parse_build_commands: select-layout even-vertical
1730588846.114952 args_parse_flags: next -N
1730588846.114954 args_parse_flag_argument: -N = Set the even-vertical layout
1730588846.114956 args_parse_flags: next M-2
1730588846.114957 args_parse: flags end at 3 of 5
1730588846.114959 args_parse: 3 = M-2 (type STRING)
1730588846.114962 args_parse: 4 = select-layout even-vertical (type COMMANDS)
1730588846.114968 cmd_parse_build_commands: bind-key -N "Set the even-vertical layout" M-2 { select-layout even-vertical }
1730588846.114971 cmdq_get_command: [bind-key/0x1486197f0] group 530
1730588846.114973 cmdq_append <global>: [bind-key/0x1486197f0]
1730588846.114975 yylex_token: end at WS
1730588846.114977 yylex_token: bind
1730588846.114979 yylex_token: end at WS
1730588846.114981 yylex_token: -N
1730588846.114983 yylex_token: end at WS
1730588846.114985 yylex_token: Set the main-horizontal layout
1730588846.114987 yylex_token: end at WS
1730588846.114989 yylex_token: M-3
1730588846.114991 yylex_token: end at WS
1730588846.114993 yylex_token: select-layout
1730588846.114995 yylex_token: end at WS
1730588846.114997 yylex_token: main-horizontal
1730588846.114999 cmd_parse_build_commands 0:0: bind
1730588846.115001 cmd_parse_build_commands 0:1: -N
1730588846.115004 cmd_parse_build_commands 0:2: Set the main-horizontal layout
1730588846.115006 cmd_parse_build_commands 0:3: M-3
1730588846.115008 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.115011 cmd_parse_build_commands 0:4 0:1: main-horizontal
1730588846.115016 cmd_parse_build_commands 0:0: select-layout
1730588846.115019 cmd_parse_build_commands 0:1: main-horizontal
1730588846.115022 args_parse_flags: next main-horizontal
1730588846.115024 args_parse: flags end at 1 of 2
1730588846.115026 args_parse: 1 = main-horizontal (type STRING)
1730588846.115029 cmd_parse_build_commands: select-layout main-horizontal
1730588846.115031 args_parse_flags: next -N
1730588846.115033 args_parse_flag_argument: -N = Set the main-horizontal layout
1730588846.115035 args_parse_flags: next M-3
1730588846.115037 args_parse: flags end at 3 of 5
1730588846.115039 args_parse: 3 = M-3 (type STRING)
1730588846.115041 args_parse: 4 = select-layout main-horizontal (type COMMANDS)
1730588846.115047 cmd_parse_build_commands: bind-key -N "Set the main-horizontal layout" M-3 { select-layout main-horizontal }
1730588846.115054 cmdq_get_command: [bind-key/0x148619c20] group 538
1730588846.115056 cmdq_append <global>: [bind-key/0x148619c20]
1730588846.115058 yylex_token: end at WS
1730588846.115060 yylex_token: bind
1730588846.115062 yylex_token: end at WS
1730588846.115063 yylex_token: -N
1730588846.115066 yylex_token: end at WS
1730588846.115068 yylex_token: Set the main-vertical layout
1730588846.115070 yylex_token: end at WS
1730588846.115072 yylex_token: M-4
1730588846.115074 yylex_token: end at WS
1730588846.115076 yylex_token: select-layout
1730588846.115078 yylex_token: end at WS
1730588846.115080 yylex_token: main-vertical
1730588846.115082 cmd_parse_build_commands 0:0: bind
1730588846.115085 cmd_parse_build_commands 0:1: -N
1730588846.115087 cmd_parse_build_commands 0:2: Set the main-vertical layout
1730588846.115089 cmd_parse_build_commands 0:3: M-4
1730588846.115092 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.115095 cmd_parse_build_commands 0:4 0:1: main-vertical
1730588846.115098 cmd_parse_build_commands 0:0: select-layout
1730588846.115100 cmd_parse_build_commands 0:1: main-vertical
1730588846.115103 args_parse_flags: next main-vertical
1730588846.115104 args_parse: flags end at 1 of 2
1730588846.115106 args_parse: 1 = main-vertical (type STRING)
1730588846.115110 cmd_parse_build_commands: select-layout main-vertical
1730588846.115112 args_parse_flags: next -N
1730588846.115114 args_parse_flag_argument: -N = Set the main-vertical layout
1730588846.115115 args_parse_flags: next M-4
1730588846.115117 args_parse: flags end at 3 of 5
1730588846.115119 args_parse: 3 = M-4 (type STRING)
1730588846.115122 args_parse: 4 = select-layout main-vertical (type COMMANDS)
1730588846.115128 cmd_parse_build_commands: bind-key -N "Set the main-vertical layout" M-4 { select-layout main-vertical }
1730588846.115131 cmdq_get_command: [bind-key/0x148619fe0] group 546
1730588846.115133 cmdq_append <global>: [bind-key/0x148619fe0]
1730588846.115135 yylex_token: end at WS
1730588846.115137 yylex_token: bind
1730588846.115139 yylex_token: end at WS
1730588846.115141 yylex_token: -N
1730588846.115143 yylex_token: end at WS
1730588846.115145 yylex_token: Select the tiled layout
1730588846.115147 yylex_token: end at WS
1730588846.115149 yylex_token: M-5
1730588846.115151 yylex_token: end at WS
1730588846.115153 yylex_token: select-layout
1730588846.115155 yylex_token: end at WS
1730588846.115157 yylex_token: tiled
1730588846.115160 cmd_parse_build_commands 0:0: bind
1730588846.115162 cmd_parse_build_commands 0:1: -N
1730588846.115166 cmd_parse_build_commands 0:2: Select the tiled layout
1730588846.115168 cmd_parse_build_commands 0:3: M-5
1730588846.115170 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.115172 cmd_parse_build_commands 0:4 0:1: tiled
1730588846.115174 cmd_parse_build_commands 0:0: select-layout
1730588846.115176 cmd_parse_build_commands 0:1: tiled
1730588846.115179 args_parse_flags: next tiled
1730588846.115181 args_parse: flags end at 1 of 2
1730588846.115183 args_parse: 1 = tiled (type STRING)
1730588846.115186 cmd_parse_build_commands: select-layout tiled
1730588846.115188 args_parse_flags: next -N
1730588846.115190 args_parse_flag_argument: -N = Select the tiled layout
1730588846.115192 args_parse_flags: next M-5
1730588846.115194 args_parse: flags end at 3 of 5
1730588846.115196 args_parse: 3 = M-5 (type STRING)
1730588846.115199 args_parse: 4 = select-layout tiled (type COMMANDS)
1730588846.115204 cmd_parse_build_commands: bind-key -N "Select the tiled layout" M-5 { select-layout tiled }
1730588846.115208 cmdq_get_command: [bind-key/0x14861a240] group 554
1730588846.115209 cmdq_append <global>: [bind-key/0x14861a240]
1730588846.115212 yylex_token: end at WS
1730588846.115213 yylex_token: bind
1730588846.115215 yylex_token: end at WS
1730588846.115217 yylex_token: -N
1730588846.115220 yylex_token: end at WS
1730588846.115222 yylex_token: Set the main-horizontal-mirrored layout
1730588846.115224 yylex_token: end at WS
1730588846.115229 yylex_token: M-6
1730588846.115231 yylex_token: end at WS
1730588846.115233 yylex_token: select-layout
1730588846.115235 yylex_token: end at WS
1730588846.115237 yylex_token: main-horizontal-mirrored
1730588846.115239 cmd_parse_build_commands 0:0: bind
1730588846.115241 cmd_parse_build_commands 0:1: -N
1730588846.115243 cmd_parse_build_commands 0:2: Set the main-horizontal-mirrored layout
1730588846.115245 cmd_parse_build_commands 0:3: M-6
1730588846.115247 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.115249 cmd_parse_build_commands 0:4 0:1: main-horizontal-mirrored
1730588846.115252 cmd_parse_build_commands 0:0: select-layout
1730588846.115254 cmd_parse_build_commands 0:1: main-horizontal-mirrored
1730588846.115257 args_parse_flags: next main-horizontal-mirrored
1730588846.115258 args_parse: flags end at 1 of 2
1730588846.115260 args_parse: 1 = main-horizontal-mirrored (type STRING)
1730588846.115264 cmd_parse_build_commands: select-layout main-horizontal-mirrored
1730588846.115266 args_parse_flags: next -N
1730588846.115268 args_parse_flag_argument: -N = Set the main-horizontal-mirrored layout
1730588846.115270 args_parse_flags: next M-6
1730588846.115272 args_parse: flags end at 3 of 5
1730588846.115274 args_parse: 3 = M-6 (type STRING)
1730588846.115277 args_parse: 4 = select-layout main-horizontal-mirrored (type COMMANDS)
1730588846.115284 cmd_parse_build_commands: bind-key -N "Set the main-horizontal-mirrored layout" M-6 { select-layout main-horizontal-mirrored }
1730588846.115287 cmdq_get_command: [bind-key/0x14861a770] group 562
1730588846.115289 cmdq_append <global>: [bind-key/0x14861a770]
1730588846.115291 yylex_token: end at WS
1730588846.115293 yylex_token: bind
1730588846.115295 yylex_token: end at WS
1730588846.115297 yylex_token: -N
1730588846.115300 yylex_token: end at WS
1730588846.115302 yylex_token: Set the main-vertical-mirrored layout
1730588846.115304 yylex_token: end at WS
1730588846.115306 yylex_token: M-7
1730588846.115308 yylex_token: end at WS
1730588846.115310 yylex_token: select-layout
1730588846.115312 yylex_token: end at WS
1730588846.115314 yylex_token: main-vertical-mirrored
1730588846.115317 cmd_parse_build_commands 0:0: bind
1730588846.115318 cmd_parse_build_commands 0:1: -N
1730588846.115320 cmd_parse_build_commands 0:2: Set the main-vertical-mirrored layout
1730588846.115322 cmd_parse_build_commands 0:3: M-7
1730588846.115324 cmd_parse_build_commands 0:4 0:0: select-layout
1730588846.115327 cmd_parse_build_commands 0:4 0:1: main-vertical-mirrored
1730588846.115329 cmd_parse_build_commands 0:0: select-layout
1730588846.115331 cmd_parse_build_commands 0:1: main-vertical-mirrored
1730588846.115334 args_parse_flags: next main-vertical-mirrored
1730588846.115336 args_parse: flags end at 1 of 2
1730588846.115338 args_parse: 1 = main-vertical-mirrored (type STRING)
1730588846.115342 cmd_parse_build_commands: select-layout main-vertical-mirrored
1730588846.115344 args_parse_flags: next -N
1730588846.115346 args_parse_flag_argument: -N = Set the main-vertical-mirrored layout
1730588846.115348 args_parse_flags: next M-7
1730588846.115350 args_parse: flags end at 3 of 5
1730588846.115352 args_parse: 3 = M-7 (type STRING)
1730588846.115355 args_parse: 4 = select-layout main-vertical-mirrored (type COMMANDS)
1730588846.115361 cmd_parse_build_commands: bind-key -N "Set the main-vertical-mirrored layout" M-7 { select-layout main-vertical-mirrored }
1730588846.115364 cmdq_get_command: [bind-key/0x14861a9f0] group 570
1730588846.115366 cmdq_append <global>: [bind-key/0x14861a9f0]
1730588846.115368 yylex_token: end at WS
1730588846.115370 yylex_token: bind
1730588846.115372 yylex_token: end at WS
1730588846.115374 yylex_token: -N
1730588846.115377 yylex_token: end at WS
1730588846.115379 yylex_token: Select the next window with an alert
1730588846.115381 yylex_token: end at WS
1730588846.115383 yylex_token: M-n
1730588846.115385 yylex_token: end at WS
1730588846.115387 yylex_token: next-window
1730588846.115389 yylex_token: end at WS
1730588846.115391 yylex_token: -a
1730588846.115396 cmd_parse_build_commands 0:0: bind
1730588846.115398 cmd_parse_build_commands 0:1: -N
1730588846.115400 cmd_parse_build_commands 0:2: Select the next window with an alert
1730588846.115402 cmd_parse_build_commands 0:3: M-n
1730588846.115404 cmd_parse_build_commands 0:4 0:0: next-window
1730588846.115406 cmd_parse_build_commands 0:4 0:1: -a
1730588846.115408 cmd_parse_build_commands 0:0: next-window
1730588846.115410 cmd_parse_build_commands 0:1: -a
1730588846.115413 args_parse_flags: next -a
1730588846.115415 args_parse_flags: -a
1730588846.115417 args_parse: flags end at 2 of 2
1730588846.115420 cmd_parse_build_commands: next-window -a
1730588846.115422 args_parse_flags: next -N
1730588846.115424 args_parse_flag_argument: -N = Select the next window with an alert
1730588846.115426 args_parse_flags: next M-n
1730588846.115427 args_parse: flags end at 3 of 5
1730588846.115430 args_parse: 3 = M-n (type STRING)
1730588846.115433 args_parse: 4 = next-window -a (type COMMANDS)
1730588846.115439 cmd_parse_build_commands: bind-key -N "Select the next window with an alert" M-n { next-window -a }
1730588846.115443 cmdq_get_command: [bind-key/0x14861b190] group 578
1730588846.115447 cmdq_append <global>: [bind-key/0x14861b190]
1730588846.115449 yylex_token: end at WS
1730588846.115451 yylex_token: bind
1730588846.115453 yylex_token: end at WS
1730588846.115454 yylex_token: -N
1730588846.115458 yylex_token: end at WS
1730588846.115460 yylex_token: Rotate through the panes in reverse
1730588846.115462 yylex_token: end at WS
1730588846.115465 yylex_token: M-o
1730588846.115469 yylex_token: end at WS
1730588846.115471 yylex_token: rotate-window
1730588846.115473 yylex_token: end at WS
1730588846.115477 yylex_token: -D
1730588846.115481 cmd_parse_build_commands 0:0: bind
1730588846.115484 cmd_parse_build_commands 0:1: -N
1730588846.115486 cmd_parse_build_commands 0:2: Rotate through the panes in reverse
1730588846.115490 cmd_parse_build_commands 0:3: M-o
1730588846.115494 cmd_parse_build_commands 0:4 0:0: rotate-window
1730588846.115517 cmd_parse_build_commands 0:4 0:1: -D
1730588846.115524 cmd_parse_build_commands 0:0: rotate-window
1730588846.115528 cmd_parse_build_commands 0:1: -D
1730588846.115533 args_parse_flags: next -D
1730588846.115536 args_parse_flags: -D
1730588846.115539 args_parse: flags end at 2 of 2
1730588846.115544 cmd_parse_build_commands: rotate-window -D
1730588846.115546 args_parse_flags: next -N
1730588846.115549 args_parse_flag_argument: -N = Rotate through the panes in reverse
1730588846.115551 args_parse_flags: next M-o
1730588846.115553 args_parse: flags end at 3 of 5
1730588846.115556 args_parse: 3 = M-o (type STRING)
1730588846.115560 args_parse: 4 = rotate-window -D (type COMMANDS)
1730588846.115568 cmd_parse_build_commands: bind-key -N "Rotate through the panes in reverse" M-o { rotate-window -D }
1730588846.115574 cmdq_get_command: [bind-key/0x1498055f0] group 586
1730588846.115578 cmdq_append <global>: [bind-key/0x1498055f0]
1730588846.115587 yylex_token: end at WS
1730588846.115589 yylex_token: bind
1730588846.115591 yylex_token: end at WS
1730588846.115593 yylex_token: -N
1730588846.115596 yylex_token: end at WS
1730588846.115599 yylex_token: Select the previous window with an alert
1730588846.115602 yylex_token: end at WS
1730588846.115604 yylex_token: M-p
1730588846.115607 yylex_token: end at WS
1730588846.115609 yylex_token: previous-window
1730588846.115611 yylex_token: end at WS
1730588846.115614 yylex_token: -a
1730588846.115617 cmd_parse_build_commands 0:0: bind
1730588846.115619 cmd_parse_build_commands 0:1: -N
1730588846.115621 cmd_parse_build_commands 0:2: Select the previous window with an alert
1730588846.115623 cmd_parse_build_commands 0:3: M-p
1730588846.115625 cmd_parse_build_commands 0:4 0:0: previous-window
1730588846.115627 cmd_parse_build_commands 0:4 0:1: -a
1730588846.115630 cmd_parse_build_commands 0:0: previous-window
1730588846.115632 cmd_parse_build_commands 0:1: -a
1730588846.115635 args_parse_flags: next -a
1730588846.115637 args_parse_flags: -a
1730588846.115644 args_parse: flags end at 2 of 2
1730588846.115648 cmd_parse_build_commands: previous-window -a
1730588846.115650 args_parse_flags: next -N
1730588846.115653 args_parse_flag_argument: -N = Select the previous window with an alert
1730588846.115655 args_parse_flags: next M-p
1730588846.115658 args_parse: flags end at 3 of 5
1730588846.115662 args_parse: 3 = M-p (type STRING)
1730588846.115665 args_parse: 4 = previous-window -a (type COMMANDS)
1730588846.115671 cmd_parse_build_commands: bind-key -N "Select the previous window with an alert" M-p { previous-window -a }
1730588846.115674 cmdq_get_command: [bind-key/0x149805860] group 594
1730588846.115677 cmdq_append <global>: [bind-key/0x149805860]
1730588846.115679 yylex_token: end at WS
